title,original_title,description,release_date,runtime_minutes,genres,directors,actors,poster_url,imdb_id,tmdb_id
The Shawshank Redemption,The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",1994-09-23,142,"Drama,Crime","Frank Darabont","Tim Robbins,Morgan Freeman,Bob Gunton",https://example.com/shawshank.jpg,tt0111161,278
The Godfather,The Godfather,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",1972-03-24,175,"Crime,Drama","Francis Ford Coppola","Marlon Brando,Al Pacino,James Caan",https://example.com/godfather.jpg,tt0068646,238
The Dark Knight,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008-07-18,152,"Action,Crime,Drama","Christopher Nolan","Christian Bale,Heath Ledger,Aaron Eckhart",https://example.com/darkknight.jpg,tt0468569,155
12 Angry Men,12 Angry Men,"A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",1957-04-10,96,"Crime,Drama","Sidney Lumet","Henry Fonda,Lee J. Cobb,Martin Balsam",https://example.com/12angrymen.jpg,tt0050083,389
Schindler's List,Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993-12-15,195,"Biography,Drama,History","Steven Spielberg","Liam Neeson,Ralph Fiennes,Ben Kingsley",https://example.com/schindlerslist.jpg,tt0108052,424
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",2003-12-17,201,"Action,Adventure,Drama","Peter Jackson","Elijah Wood,Viggo Mortensen,Ian McKellen",https://example.com/lotr3.jpg,tt0167260,122
Pulp Fiction,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994-10-14,154,"Crime,Drama","Quentin Tarantino","John Travolta,Uma Thurman,Samuel L. Jackson",https://example.com/pulpfiction.jpg,tt0110912,680
The Good the Bad and the Ugly,The Good the Bad and the Ugly,"A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.",1966-12-23,178,"Adventure,Western","Sergio Leone","Clint Eastwood,Lee Van Cleef,Eli Wallach",https://example.com/goodbadugly.jpg,tt0060196,429
Fight Club,Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",1999-10-15,139,"Drama","David Fincher","Brad Pitt,Edward Norton,Meat Loaf",https://example.com/fightclub.jpg,tt0137523,550
Forrest Gump,Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",1994-07-06,142,"Drama,Romance","Robert Zemeckis","Tom Hanks,Robin Wright,Gary Sinise",https://example.com/forrestgump.jpg,tt0109830,13
Inception,Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",2010-07-16,148,"Action,Sci-Fi,Thriller","Christopher Nolan","Leonardo DiCaprio,Marion Cotillard,Tom Hardy",https://example.com/inception.jpg,tt1375666,27205
The Matrix,The Matrix,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",1999-03-31,136,"Action,Sci-Fi","Lana Wachowski,Lilly Wachowski","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",https://example.com/matrix.jpg,tt0133093,603
Goodfellas,Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",1990-09-12,146,"Biography,Crime,Drama","Martin Scorsese","Robert De Niro,Ray Liotta,Joe Pesci",https://example.com/goodfellas.jpg,tt0099685,769
Seven Samurai,Seven Samurai,"A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.",1954-04-26,207,"Action,Adventure,Drama","Akira Kurosawa","Toshiro Mifune,Takashi Shimura,Keiko Tsushima",https://example.com/sevensamurai.jpg,tt0047478,346
Star Wars,Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977-05-25,121,"Action,Adventure,Fantasy","George Lucas","Mark Hamill,Harrison Ford,Carrie Fisher",https://example.com/starwars.jpg,tt0076759,11
City of God,City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2002-08-30,130,"Crime,Drama","Fernando Meirelles,Kátia Lund","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",https://example.com/cityofgod.jpg,tt0317248,598
Casablanca,Casablanca,"A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.",1942-11-26,102,"Drama,Romance,War","Michael Curtiz","Humphrey Bogart,Ingrid Bergman,Paul Henreid",https://example.com/casablanca.jpg,tt0034583,289
The Silence of the Lambs,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991-02-14,118,"Crime,Drama,Thriller","Jonathan Demme","Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",https://example.com/silenceofthelambs.jpg,tt0102926,274
Raiders of the Lost Ark,Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",1981-06-12,115,"Action,Adventure","Steven Spielberg","Harrison Ford,Karen Allen,Paul Freeman",https://example.com/raiders.jpg,tt0082971,85
Rear Window,Rear Window,"A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.",1954-08-01,112,"Mystery,Thriller","Alfred Hitchcock","James Stewart,Grace Kelly,Wendell Corey",https://example.com/rearwindow.jpg,tt0047396,808
