imdb_id,rating,user_comment
tt0111161,9.3,Amazing story of hope and friendship
tt0068646,9.2,The greatest crime saga ever told
tt0468569,9.0,Heath Ledger's performance is unforgettable
tt0050083,8.9,Brilliant courtroom drama
tt0108052,8.9,Spielberg at his finest
tt0167260,8.9,Epic conclusion to the trilogy
tt0110912,8.9,Tarantino's masterpiece
tt0060196,8.8,The ultimate western
tt0137523,8.8,Mind-bending and provocative
tt0109830,8.8,Tom Hanks delivers a perfect performance
tt1375666,8.8,Christopher Nolan's complex thriller
tt0133093,8.7,Revolutionary sci-fi action
tt0099685,8.7,Scorsese's crime classic
tt0047478,8.6,Kurosawa's samurai epic
tt0076759,8.6,The space opera that started it all
tt0317248,8.6,Raw and powerful Brazilian cinema
tt0034583,8.5,Timeless romantic drama
tt0102926,8.6,Hopkins is terrifyingly brilliant
tt0082971,8.5,Adventure at its best
tt0047396,8.5,Hitchcock's suspenseful masterpiece
tt0111161,9.5,One of the best films ever made
tt0068646,9.0,Brando's iconic performance
tt0468569,9.2,Dark and compelling superhero film
tt0050083,9.1,Perfect example of ensemble acting
tt0108052,9.0,Heartbreaking and inspiring
tt0167260,8.8,Satisfying end to an epic journey
tt0110912,9.1,Brilliant non-linear storytelling
tt0060196,8.9,Clint Eastwood at his coolest
tt0137523,8.6,Fight Club rules
tt0109830,8.9,Life is like a box of chocolates
tt1375666,8.7,Dream within a dream
tt0133093,8.8,Take the red pill
tt0099685,8.8,As far back as I can remember
tt0047478,8.7,Honor and sacrifice
tt0076759,8.7,May the Force be with you
tt0317248,8.5,Cidade Maravilhosa
tt0034583,8.6,Here's looking at you kid
tt0102926,8.7,Hello Clarice
tt0082971,8.6,It belongs in a museum
tt0047396,8.4,Rear window ethics
tt0111161,9.1,Hope is a good thing
tt0068646,9.3,An offer you can't refuse
tt0468569,8.9,Why so serious?
tt0050083,8.8,Reasonable doubt
tt0108052,8.7,Whoever saves one life saves the world
tt0167260,9.0,For Frodo
tt0110912,8.7,Royale with cheese
tt0060196,8.6,The good the bad and the ugly
tt0137523,8.9,His name was Robert Paulson
tt0109830,8.6,Run Forrest run
tt1375666,8.9,We need to go deeper
tt0133093,8.5,There is no spoon
tt0099685,8.9,Funny how?
tt0047478,8.8,Seven samurai protect the village
tt0076759,8.8,A long time ago in a galaxy far away
tt0317248,8.7,City of God depicts harsh reality
tt0034583,8.7,Play it again Sam
tt0102926,8.5,Quid pro quo
tt0082971,8.7,Snakes why did it have to be snakes
tt0047396,8.6,What did you see?
